JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
King's Road/Queen's Lane,24/06/2024,15:11:01,SE,SE,Sunny,20,58,Truck,True
Elm Avenue/Rabbit Road,24/06/2024,20:24:45,N,W,Rainy,20,15,Scooter,True
North Square/Broad Street,24/06/2024,05:11:00,NE,NE,Overcast,30,7,Truck,True
Elm Avenue/Rabbit Road,24/06/2024,02:05:57,SE,W,Sunny,30,13,Car,False
Willow Lane/Park Avenue,24/06/2024,13:12:50,SW,SW,Foggy,20,52,Bus,True
King's Road/Queen's Lane,24/06/2024,21:25:02,S,W,Sunny,30,14,Bicycle,False
North Square/Broad Street,24/06/2024,01:16:32,S,S,Rainy,30,32,Bus,False
Hanley Highway/Westway,24/06/2024,23:08:00,SW,S,Overcast,50,37,Scooter,False
Hanley Highway/Westway,24/06/2024,07:01:46,SW,SE,Rainy,30,6,Bicycle,True
King's Road/Queen's Lane,24/06/2024,16:14:27,N,W,Cloudy,30,34,Truck,False
Hanley Highway/Westway,24/06/2024,02:06:34,SW,E,Sunny,40,43,Truck,False
Willow Lane/Park Avenue,24/06/2024,23:35:54,NE,SE,Cloudy,30,37,Motorcycle,True
King's Road/Queen's Lane,24/06/2024,22:21:17,W,E,Foggy,20,58,Scooter,False
Hanley Highway/Westway,24/06/2024,05:19:20,N,SW,Rainy,30,59,Bicycle,True
Elm Avenue/Rabbit Road,24/06/2024,12:04:18,S,N,Cloudy,20,29,Bicycle,True
Hanley Highway/Westway,24/06/2024,09:24:57,W,E,Sunny,30,39,Truck,False
Elm Avenue/Rabbit Road,24/06/2024,20:15:40,W,SW,Cloudy,30,17,Bus,False
King's Road/Queen's Lane,24/06/2024,08:12:35,N,E,Overcast,40,6,Motorcycle,False
King's Road/Queen's Lane,24/06/2024,12:26:48,SW,S,Rainy,50,33,Bicycle,True
Willow Lane/Park Avenue,24/06/2024,08:30:10,E,NW,Overcast,40,47,Motorcycle,True
Willow Lane/Park Avenue,24/06/2024,11:33:05,E,E,Sunny,50,32,Motorcycle,True
North Square/Broad Street,24/06/2024,11:50:12,E,NW,Overcast,50,16,Scooter,False
Elm Avenue/Rabbit Road,24/06/2024,20:09:44,SW,SW,Cloudy,50,11,Bus,True
Elm Avenue/Rabbit Road,24/06/2024,06:03:00,NE,NW,Overcast,20,16,Scooter,False
North Square/Broad Street,24/06/2024,00:30:40,S,N,Overcast,30,37,Scooter,False
