JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
North Square/Broad Street,17/06/2024,13:14:01,NE,E,Sunny,40,34,Scooter,True
King's Road/Queen's Lane,17/06/2024,07:47:30,SW,S,Rainy,50,18,Car,False
Elm Avenue/Rabbit Road,17/06/2024,06:24:13,NW,S,Foggy,20,6,Car,True
North Square/Broad Street,17/06/2024,00:08:36,S,NW,Sunny,30,28,Car,False
King's Road/Queen's Lane,17/06/2024,10:17:21,NE,SW,Rainy,50,59,Car,True
Hanley Highway/Westway,17/06/2024,07:00:12,NE,N,Cloudy,40,7,Motorcycle,False
Willow Lane/Park Avenue,17/06/2024,10:25:35,SE,NW,Rainy,30,14,Scooter,True
North Square/Broad Street,17/06/2024,14:46:40,NE,E,Sunny,50,34,Car,True
Elm Avenue/Rabbit Road,17/06/2024,16:56:37,N,S,Foggy,30,8,Car,False
Hanley Highway/Westway,17/06/2024,14:53:11,S,W,Rainy,30,58,Scooter,False
Willow Lane/Park Avenue,17/06/2024,15:08:35,W,S,Rainy,40,25,Scooter,True
Hanley Highway/Westway,17/06/2024,14:42:14,W,E,Cloudy,20,33,Bus,True
Hanley Highway/Westway,17/06/2024,17:07:24,SE,NE,Foggy,50,40,Bus,False
Hanley Highway/Westway,17/06/2024,16:48:44,E,W,Overcast,50,53,Scooter,True
North Square/Broad Street,17/06/2024,01:13:06,N,E,Cloudy,20,60,Car,False
King's Road/Queen's Lane,17/06/2024,03:54:18,SW,SW,Rainy,50,26,Truck,True
Willow Lane/Park Avenue,17/06/2024,19:29:53,N,SE,Sunny,30,54,Scooter,True
Elm Avenue/Rabbit Road,17/06/2024,17:20:33,E,E,Overcast,40,8,Bus,False
Elm Avenue/Rabbit Road,17/06/2024,19:25:30,N,SE,Rainy,40,25,Bus,True
King's Road/Queen's Lane,17/06/2024,17:11:25,W,E,Foggy,30,50,Scooter,False
North Square/Broad Street,17/06/2024,21:57:22,SW,W,Overcast,30,27,Truck,False
Hanley Highway/Westway,17/06/2024,06:35:16,N,N,Foggy,30,28,Bicycle,False
Willow Lane/Park Avenue,17/06/2024,00:04:29,E,S,Overcast,50,5,Scooter,True
King's Road/Queen's Lane,17/06/2024,11:56:04,SE,S,Rainy,20,60,Scooter,False
King's Road/Queen's Lane,17/06/2024,19:03:14,NE,SW,Rainy,50,18,Bus,False
Willow Lane/Park Avenue,17/06/2024,03:01:51,NW,NE,Overcast,30,5,Scooter,True
North Square/Broad Street,17/06/2024,07:38:56,SW,NW,Foggy,50,19,Scooter,False
North Square/Broad Street,17/06/2024,02:09:36,S,N,Foggy,50,36,Motorcycle,True
North Square/Broad Street,17/06/2024,21:14:01,NE,S,Overcast,50,8,Truck,True
King's Road/Queen's Lane,17/06/2024,22:53:53,E,SW,Cloudy,30,9,Truck,False
Elm Avenue/Rabbit Road,17/06/2024,16:32:28,NW,SE,Overcast,20,18,Bus,True
Willow Lane/Park Avenue,17/06/2024,15:57:03,W,NE,Sunny,30,41,Car,True
Elm Avenue/Rabbit Road,17/06/2024,07:40:46,N,E,Cloudy,40,20,Car,False
King's Road/Queen's Lane,17/06/2024,02:38:47,SE,NE,Overcast,30,35,Truck,False
Elm Avenue/Rabbit Road,17/06/2024,23:03:02,NW,S,Overcast,30,42,Bicycle,True
Willow Lane/Park Avenue,17/06/2024,02:07:15,E,SE,Cloudy,40,44,Bicycle,False
Willow Lane/Park Avenue,17/06/2024,14:10:00,SW,SW,Sunny,30,37,Truck,True
King's Road/Queen's Lane,17/06/2024,16:19:25,W,N,Sunny,50,38,Bicycle,False
North Square/Broad Street,17/06/2024,17:50:30,E,E,Overcast,50,58,Truck,False
North Square/Broad Street,17/06/2024,22:28:06,S,W,Cloudy,50,26,Bus,False
Elm Avenue/Rabbit Road,17/06/2024,15:30:34,S,E,Foggy,40,49,Motorcycle,True
Elm Avenue/Rabbit Road,17/06/2024,05:45:21,S,SE,Rainy,40,28,Scooter,True
