JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,26/06/2024,07:47:28,S,N,Foggy,30,55,Bicycle,False
North Square/Broad Street,26/06/2024,08:45:34,W,SE,Sunny,40,58,Motorcycle,False
King's Road/Queen's Lane,26/06/2024,06:19:01,NE,E,Rainy,50,23,Scooter,False
King's Road/Queen's Lane,26/06/2024,23:02:29,W,N,Rainy,40,15,Truck,True
Willow Lane/Park Avenue,26/06/2024,15:22:25,NE,NE,Overcast,50,56,Scooter,True
Elm Avenue/Rabbit Road,26/06/2024,08:48:25,E,NW,Overcast,40,8,Truck,True
North Square/Broad Street,26/06/2024,14:52:38,S,SE,Overcast,30,24,Bus,True
North Square/Broad Street,26/06/2024,07:46:19,SW,SW,Overcast,20,24,Motorcycle,True
Elm Avenue/Rabbit Road,26/06/2024,03:30:32,E,SE,Sunny,30,34,Motorcycle,True
Elm Avenue/Rabbit Road,26/06/2024,20:01:15,W,E,Rainy,50,33,Bus,False
Willow Lane/Park Avenue,26/06/2024,21:49:01,N,E,Rainy,50,32,Bus,True
Hanley Highway/Westway,26/06/2024,19:29:00,E,SE,Cloudy,20,15,Bicycle,True
Willow Lane/Park Avenue,26/06/2024,13:12:24,NW,E,Foggy,40,17,Scooter,False
Elm Avenue/Rabbit Road,26/06/2024,06:06:29,NW,E,Rainy,40,23,Truck,False
Hanley Highway/Westway,26/06/2024,15:55:28,E,W,Cloudy,50,23,Bicycle,False
North Square/Broad Street,26/06/2024,00:14:49,N,SE,Foggy,20,5,Bicycle,True
Hanley Highway/Westway,26/06/2024,16:53:37,NE,E,Cloudy,40,41,Motorcycle,True
Elm Avenue/Rabbit Road,26/06/2024,11:09:59,SE,SW,Overcast,30,22,Bicycle,True
Hanley Highway/Westway,26/06/2024,08:16:04,NW,W,Overcast,20,9,Scooter,True
Elm Avenue/Rabbit Road,26/06/2024,20:07:01,SW,SW,Sunny,20,11,Bus,True
King's Road/Queen's Lane,26/06/2024,06:34:52,NW,NE,Overcast,50,20,Car,True
