JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,25/06/2024,06:41:20,NE,E,Sunny,40,36,Truck,True
North Square/Broad Street,25/06/2024,07:13:40,SE,W,Overcast,50,27,Truck,False
Hanley Highway/Westway,25/06/2024,11:55:06,S,NE,Sunny,50,14,Scooter,False
North Square/Broad Street,25/06/2024,08:01:30,S,N,Overcast,50,51,Bus,False
King's Road/Queen's Lane,25/06/2024,13:04:13,N,W,Cloudy,50,47,Motorcycle,False
Elm Avenue/Rabbit Road,25/06/2024,18:13:28,E,N,Overcast,20,9,Scooter,True
Willow Lane/Park Avenue,25/06/2024,00:19:45,SE,SW,Rainy,50,40,Bicycle,False
Willow Lane/Park Avenue,25/06/2024,15:30:44,NW,N,Foggy,50,6,Car,True
Willow Lane/Park Avenue,25/06/2024,19:08:43,W,SE,Cloudy,30,50,Truck,False
King's Road/Queen's Lane,25/06/2024,19:22:25,SW,NE,Foggy,40,50,Scooter,True
North Square/Broad Street,25/06/2024,03:33:41,W,E,Rainy,20,56,Car,False
Elm Avenue/Rabbit Road,25/06/2024,12:27:55,W,E,Overcast,40,48,Scooter,True
Elm Avenue/Rabbit Road,25/06/2024,12:43:38,SW,N,Sunny,40,37,Scooter,True
Elm Avenue/Rabbit Road,25/06/2024,12:01:45,NW,SE,Cloudy,40,54,Bus,True
King's Road/Queen's Lane,25/06/2024,05:04:39,N,SE,Sunny,30,32,Car,True
Willow Lane/Park Avenue,25/06/2024,06:40:46,SW,SW,Foggy,50,57,Bus,False
Elm Avenue/Rabbit Road,25/06/2024,06:26:21,NW,NW,Sunny,50,44,Truck,False
King's Road/Queen's Lane,25/06/2024,09:11:47,SE,W,Overcast,20,5,Car,False
King's Road/Queen's Lane,25/06/2024,01:17:05,NW,E,Rainy,40,42,Scooter,False
North Square/Broad Street,25/06/2024,23:39:05,S,N,Foggy,30,17,Bus,False
North Square/Broad Street,25/06/2024,09:37:18,E,E,Foggy,40,18,Bus,False
King's Road/Queen's Lane,25/06/2024,02:43:55,S,E,Rainy,20,35,Motorcycle,False
Hanley Highway/Westway,25/06/2024,21:23:14,N,SW,Foggy,20,48,Bus,False
King's Road/Queen's Lane,25/06/2024,16:38:45,NW,NE,Overcast,50,6,Bus,False
Willow Lane/Park Avenue,25/06/2024,16:08:33,N,N,Cloudy,40,24,Bus,True
Willow Lane/Park Avenue,25/06/2024,00:19:28,N,S,Cloudy,40,14,Truck,True
King's Road/Queen's Lane,25/06/2024,13:46:46,S,NE,Overcast,50,54,Truck,False
Elm Avenue/Rabbit Road,25/06/2024,20:12:31,N,N,Overcast,30,26,Scooter,True
Elm Avenue/Rabbit Road,25/06/2024,05:27:56,E,NW,Sunny,40,49,Scooter,False
North Square/Broad Street,25/06/2024,03:49:48,NW,N,Rainy,20,52,Truck,True
Elm Avenue/Rabbit Road,25/06/2024,17:40:16,W,SE,Sunny,40,51,Car,False
Willow Lane/Park Avenue,25/06/2024,12:16:48,SW,E,Cloudy,40,12,Bus,False
King's Road/Queen's Lane,25/06/2024,23:30:37,SW,SW,Cloudy,30,57,Bus,False
