JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
King's Road/Queen's Lane,23/06/2024,09:20:33,E,NW,Cloudy,20,22,Truck,True
North Square/Broad Street,23/06/2024,17:13:35,E,S,Rainy,50,13,Motorcycle,True
Hanley Highway/Westway,23/06/2024,11:29:23,SW,E,Sunny,50,57,Car,False
North Square/Broad Street,23/06/2024,02:56:06,S,SW,Rainy,50,41,Bicycle,False
King's Road/Queen's Lane,23/06/2024,06:41:11,SW,SE,Cloudy,40,14,Bus,False
North Square/Broad Street,23/06/2024,16:22:15,N,SW,Cloudy,30,10,Motorcycle,False
Hanley Highway/Westway,23/06/2024,22:42:32,S,E,Overcast,50,20,Bicycle,True
Willow Lane/Park Avenue,23/06/2024,12:25:16,NE,W,Sunny,40,32,Bus,False
Hanley Highway/Westway,23/06/2024,19:08:20,N,W,Rainy,50,57,Bus,True
North Square/Broad Street,23/06/2024,08:46:41,W,NW,Foggy,50,21,Truck,True
Elm Avenue/Rabbit Road,23/06/2024,03:27:52,SE,NW,Sunny,20,11,Car,False
King's Road/Queen's Lane,23/06/2024,00:02:40,SW,SW,Overcast,50,49,Motorcycle,True
Elm Avenue/Rabbit Road,23/06/2024,07:34:58,SW,SW,Foggy,20,45,Motorcycle,True
Elm Avenue/Rabbit Road,23/06/2024,05:49:26,E,W,Foggy,30,15,Bus,False
King's Road/Queen's Lane,23/06/2024,10:05:56,NE,SW,Cloudy,50,10,Scooter,False
King's Road/Queen's Lane,23/06/2024,03:58:28,E,SW,Overcast,20,50,Scooter,True
North Square/Broad Street,23/06/2024,12:32:38,W,N,Sunny,40,17,Scooter,True
King's Road/Queen's Lane,23/06/2024,10:31:28,S,NW,Overcast,50,11,Scooter,True
King's Road/Queen's Lane,23/06/2024,03:45:56,NE,NW,Cloudy,20,22,Motorcycle,False
Elm Avenue/Rabbit Road,23/06/2024,03:54:26,N,NE,Foggy,30,48,Bus,True
Elm Avenue/Rabbit Road,23/06/2024,01:43:48,NW,SE,Foggy,20,50,Truck,True
Hanley Highway/Westway,23/06/2024,06:53:25,S,S,Foggy,50,32,Car,False
Willow Lane/Park Avenue,23/06/2024,12:13:07,N,E,Foggy,20,20,Bicycle,False
Elm Avenue/Rabbit Road,23/06/2024,13:38:21,S,NE,Sunny,20,29,Car,True
Elm Avenue/Rabbit Road,23/06/2024,08:23:27,N,E,Foggy,40,46,Truck,True
Willow Lane/Park Avenue,23/06/2024,03:59:01,SE,SE,Foggy,40,38,Bus,False
Willow Lane/Park Avenue,23/06/2024,08:26:53,W,E,Overcast,20,37,Truck,True
Hanley Highway/Westway,23/06/2024,17:28:10,S,E,Foggy,30,13,Truck,False
Elm Avenue/Rabbit Road,23/06/2024,22:00:19,NE,W,Foggy,30,21,Bicycle,False
Willow Lane/Park Avenue,23/06/2024,09:11:27,SE,W,Sunny,30,54,Motorcycle,False
King's Road/Queen's Lane,23/06/2024,13:30:16,S,W,Cloudy,20,10,Car,False
North Square/Broad Street,23/06/2024,14:57:13,SW,NW,Overcast,40,21,Motorcycle,False
Elm Avenue/Rabbit Road,23/06/2024,16:33:36,SW,NE,Sunny,20,11,Truck,True
North Square/Broad Street,23/06/2024,14:01:22,NW,N,Cloudy,30,6,Car,True
Willow Lane/Park Avenue,23/06/2024,05:46:58,W,E,Rainy,50,23,Bicycle,False
King's Road/Queen's Lane,23/06/2024,05:09:53,NE,NW,Overcast,20,41,Motorcycle,False
Willow Lane/Park Avenue,23/06/2024,17:40:09,NE,E,Foggy,20,16,Car,True
Willow Lane/Park Avenue,23/06/2024,05:30:29,N,NW,Overcast,50,37,Truck,False
North Square/Broad Street,23/06/2024,21:03:14,NE,S,Rainy,20,7,Motorcycle,False
Elm Avenue/Rabbit Road,23/06/2024,02:58:37,W,NW,Cloudy,50,18,Bicycle,False
