JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Willow Lane/Park Avenue,18/06/2024,01:08:52,NW,E,Sunny,50,50,Motorcycle,True
King's Road/Queen's Lane,18/06/2024,03:39:06,SE,SW,Rainy,20,47,Bus,True
Willow Lane/Park Avenue,18/06/2024,13:46:13,E,N,Cloudy,20,37,Bicycle,True
Willow Lane/Park Avenue,18/06/2024,17:43:40,SE,NE,Overcast,20,46,Car,False
Elm Avenue/Rabbit Road,18/06/2024,01:53:07,N,W,Cloudy,50,13,Motorcycle,True
Hanley Highway/Westway,18/06/2024,03:17:32,W,SE,Foggy,50,30,Bicycle,True
Willow Lane/Park Avenue,18/06/2024,07:31:10,S,N,Cloudy,40,59,Car,True
Elm Avenue/Rabbit Road,18/06/2024,03:05:03,W,N,Rainy,50,49,Bus,True
Hanley Highway/Westway,18/06/2024,04:45:10,S,E,Rainy,30,10,Bus,True
King's Road/Queen's Lane,18/06/2024,04:23:55,NE,SE,Foggy,30,55,Bicycle,False
Elm Avenue/Rabbit Road,18/06/2024,22:23:56,W,SE,Rainy,40,12,Truck,True
Willow Lane/Park Avenue,18/06/2024,08:17:26,NW,E,Overcast,40,14,Truck,True
North Square/Broad Street,18/06/2024,18:40:08,NW,NE,Foggy,50,40,Bicycle,True
King's Road/Queen's Lane,18/06/2024,15:13:44,E,S,Sunny,20,34,Truck,True
North Square/Broad Street,18/06/2024,02:29:14,SE,N,Foggy,40,19,Car,False
North Square/Broad Street,18/06/2024,10:23:42,W,S,Foggy,30,45,Bus,True
Willow Lane/Park Avenue,18/06/2024,10:24:09,E,E,Foggy,30,56,Motorcycle,False
Willow Lane/Park Avenue,18/06/2024,04:20:37,SW,NW,Overcast,30,36,Bus,True
Hanley Highway/Westway,18/06/2024,07:10:52,SW,NW,Cloudy,50,10,Bus,True
North Square/Broad Street,18/06/2024,18:02:57,N,W,Rainy,50,44,Car,False
King's Road/Queen's Lane,18/06/2024,11:57:59,SE,NE,Sunny,20,13,Car,False
